isbn,title,authors,publisher,publish_date
9780395883976,The Gettysburg Address,"Abraham Lincoln,Michael McCurdy",HMH Books for Young Readers,1998-02-02
9780684848150,Underworld,Don DeLillo,Scribner,1998-07-09
9780140156041,Libra,Don DeLillo,Penguin,1991-05-01
9780140119480,Americana,Don DeLillo,Penguin Books,1989-07-06
9780679722946,Running Dog,Don DeLillo,Vintage Contemporaries,1989-07-17
9780743244251,Cosmopolis,Don DeLillo,Scribner,2004-04-06
9780140179170,Great Jones Street,Don DeLillo,Penguin Books,1994-01-01
9780679722953,The Names,Don DeLillo,Vintage,1989-07-17
9781594201202,Against the Day,Thomas Pynchon,Penguin Press,2006-11-21
9780060930219,V.,Thomas Pynchon,Harper Perennial Modern Classics,2005-07-05
9780060931674,The Crying of Lot 49,Thomas Pynchon,Harper Perennial,1999-04-01
9780140283389,Gravity's Rainbow,Thomas Pynchon,Penguin Books,2000-01-01
9780312423209,Mason & Dixon,"Thomas Pynchon,Christophe Claro,Brice Matthieussent",Picador USA,2004-01-03
9780141180632,Vineland,Thomas Pynchon,Penguin Classics,1997-09-01
9780143039945,Gravity's Rainbow,Thomas Pynchon,Penguin Books,2006-10-31
9780316724432,Slow Learner: Early Stories,Thomas Pynchon,Back Bay Books,1985-04-30
9780140189308,Been Down So Long It Looks Like Up To Me,"Richard Fariña,Thomas Pynchon",Penguin Classics,1996-08-29
9781400043149,The Year of Magical Thinking,Joan Didion,Knopf Publishing Group,2005-10-04
9780374522216,The White Album,Joan Didion,Farrar Straus Giroux,1990-10-01
9780679754862,A Book of Common Prayer,Joan Didion,Vintage International,1995-04-11
9780679752868,Where I Was From,Joan Didion,Vintage,2004-09-14
9780374521721,Slouching Towards Bethlehem,Joan Didion,Farrar Straus Giroux,1990-10-01
9780679754855,Democracy,Joan Didion,Vintage International,1995-04-25
9780307264879,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,"Joan Didion,John Leonard",Everyman's Library,2006-10-17
9780374529949,Play It As It Lays,"Joan Didion,David Thomson",Farrar  Straus and Giroux,2005-11-15
9780143039839,The New York Trilogy,"Paul Auster,Art Spiegelman,Luc Sante",Penguin Classics,2006-03-28
9780140097313,City of Glass (The New York Trilogy  #1),Paul Auster,Penguin Books,1987-04-07
9780140097351,Ghosts (The New York Trilogy  #2),Paul Auster,Penguin Books,1987-07-07
9780940650763,The Locked Room (The New York Trilogy  #3),Paul Auster,Sun and Moon Press,1986-11-01
9780963188922,Pyramids of Montauk: Explorations in Consciousness,"Peter Moon,Preston B. Nichols,Nina Helms",Sky Books (NY),1995-01-01
9780312426231,The Brooklyn Follies,Paul Auster,Picador,2006-10-17
9780140115857,Moon Palace,Paul Auster,Penguin Books,1990-04-01
9780140154078,The Music of Chance,Paul Auster,Penguin Books,1991-12-01
9780805081459,Travels in the Scriptorium,Paul Auster,Henry Holt & Company,2007-01-23
9780140178135,Leviathan,Paul Auster,Penguin Books,1993-09-01
9780811214988,The Red Notebook: True Stories,Paul Auster,New Directions,2002-06-17
9782742741465,Timbuktu / Leviathan / Moon Palace,Paul Auster,Actes Sud,2002-11-07
9780143036555,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,Penguin Books Ltd. (London),2005-12-27
9780446579780,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,"Stephen Leeb,Glen C. Strathy",Business Plus,2006-02-01
9780521386739,Collapse of Complex Societies,Joseph A. Tainter,Cambridge University Press,1990-03-29
9780743203043,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,Simon  Schuster,2001-08-07
9780345438713,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,Ballantine Books,2002-01-29
9780393318289,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,"Joy Harjo,Gloria Bird,Beth Cuthand,Valerie Martinez,Patricia Blanco",W. W. Norton  Company,1998-09-17
9781599869940,My Inventions,Nikola Tesla,Filiquarian Publishing  LLC.,2006-05-17
9780806519609,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,"Marc J.  Seifer,William H. Terbo",Citadel,2001-02-01
9780822549208,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,Lerner Publications,1994-10-01
9780932813862,Tesla Papers,"Nikola Tesla,David Hatcher Childress",Adventures Unlimited Press,2000-12-01
9780373792689,Boys of Summer,"Julie Elizabeth Leto,Leslie Kelly,Kimberly Raye",Harlequin Blaze,2006-06-27
9780974514055,Programming Ruby: The Pragmatic Programmers' Guide,"Dave Thomas,Chad Fowler,Andy Hunt",Pragmatic Bookshelf,2004-10-11
9780764585975,Golding's Lord of the Flies (Cliffs Notes),"Maureen Kelly,CliffsNotes,William Golding",Cliffs Notes,2000-06-13
9780307281708,Lord of the Flies,William Golding,Listening Library (Audio),2005-10-11
9780812969702,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,Random House,2006-09-12
9780060255084,We Were Not Like Other People,"Ephraim Sevela,Antonina W. Bouis",HarperCollins Publishers,1989-01-01
9780330485388,The Lovely Bones,Alice Sebold,Picador,2003-06-01
9781594130236,The Lovely Bones,Alice Sebold,Large Print Press,2004-04-01
9780345360359,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,Ballantine Books,1990-05-13
785342303476,The Zen of CSS Design: Visual Enlightenment for the Web,"Dave Shea,Molly E. Holzschlag",Peachpit Press,2005-02-17
9780321430847,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,Peachpit Press,2006-08-01
9783822840856,1000 Record Covers,"Michael Ochs,Patrick Javault,Ulrike Wasel",Taschen,2005-05-15
9780743264464,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,Scribner,2006-06-13
